model,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,test_mape
RandomForest,95.3781514391285,255.93754385373262,147.56226796567566,428.1188694766269,0.956763551973878,0.5852415942029824,0.045191595518114934
Ridge,275.71274562619124,272.9096303260497,438.51666242290383,442.8884317103313,0.6181686654178027,0.5561306779240832,0.04659219041522138
Lasso,275.7109661365943,273.2764120036171,438.50830671620145,443.2964399793046,0.6181832164737535,0.5553124773999883,0.04665900820929277
LinearRegression,275.7117054560531,273.27971407401077,438.50830641074924,443.2991671204442,0.6181832170056786,0.5553070059851151,0.046659586644551596
LightGBM,28.51814814396912,294.7082353184104,63.333434866434615,489.87499076924433,0.9920353728410858,0.45695353212276535,0.05256960110613142
GradientBoosting,120.51069277472983,296.1593766588921,156.5425522238264,521.3122927527593,0.9513408872523459,0.3850180227910325,0.05191587110472858
